word,replacedWord
Registration,পঞ্জীয়ন
Lakh,লাখ
Doses,পালিবোৰ
Dose,পালি
Vaccinated,টিকাকৰণ কৰোৱা হ'ল
AEFI Reported,AEFI ৰিপ'ৰ্ট কৰা হ'ল 
Where can I register for COVID-19 vaccination?,ক'ভিড-19 টিকাকৰণৰ বাবে মই ক'ত পঞ্জীয়ন কৰাব লাগিব? 
You can log into the Co-WIN portal using the link,লিংকটো ব্যৱহাৰ কৰি আপুনি Co-WIN প'ৰ্টেলত লগিন কৰিব পাৰে 
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,তাৰপাছত ক'ভিড-19 টিকাকৰণৰ বাবে â€œ পঞ্জীয়ন/চাইন ইন কৰিবলৈ â€ টেবটোত ক্লিক কৰক। 
Is there a mobile app that needs to be installed to register for vaccination?,টিকাকৰণৰ কৰিবলৈ পঞ্জীয়নৰ বাবে কিবা ম'বাইল এপ আছে নেকি?   
Is online registration mandatory for Covid 19 vaccination?,ক'ভিড-19 টিকাকৰণৰ বাবে অনলাইন পঞ্জীয়ন কৰাটো জৰুৰী নেকি?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","টিকাকৰণ কেন্দ্ৰবোৰে প্ৰতিদিনে থিতাতে পঞ্জীয়নৰ বাবে সীমিত সংখ্যক শ্লট মুকলি কৰে। 45 বছৰ বয়সোৰ্দ্ধ নাগৰিকে অনলাইন এপইণ্টমেণ্ট ল'ব পাৰে নাইবা টিকাকৰণ কেন্দ্ৰলৈ পোনে পোনে যাব পাৰে। যাহওঁক, 18ৰ পৰা 44 বছৰ বয়সীয়া নাগৰিকে টিকাকৰণ কেন্দ্ৰলৈ যোৱাৰ আগেয়ে পঞ্জীয়ন কৰাই অনলাইন এপইণ্টমেণ্ট লোৱাটো বাধ্যতামূলক।            "
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.","সাধাৰণতে সকলো নাগৰিকেই আগতীয়াকৈ অনলাইন পঞ্জীয়ন কৰি টিকাকৰণৰ বাবে এপইণ্টমেণ্ট লোৱাটো ভাল, যাতে ভেকচিন লওঁতে কোনো অসুবিধা নহয়।  "
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.",টিকাকৰণৰ পঞ্জীয়নৰ হেতু আৰোগ্য সেতু এপটোৰ বাহিৰে আন কোনো চৰকাৰী অনুমতিপ্ৰাপ্ত ম'বাইল এপ নাই। আপুনি Co-WIN প'ৰ্টেলটোত লগিন কৰিব লাগিব। বিকল্প হিচাপে আপুনি আৰোগ্য সেতু এপৰ যোগেদি টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰে।   
Which age groups can register for vaccination on the Co-WIN portal?,Co-WIN প'ৰ্টেলটোত কোনটো বয়সৰ গোটে টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰে?
All citizens aged 18 years and above can register for vaccination,18 বছৰ আৰু তাৰে উৰ্দ্ধ সকলো নাগৰিকে টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰে। 
How many people can be registered in the Co-WIN portal through one mobile number?,এটা ম'বাইল নম্বৰেৰে কিমানজনে Co-WIN প'ৰ্টেলটোত পঞ্জীয়ন কৰাব পাৰে?
Up to 4 people can be registered for vaccination using the same mobile number.,একেটা ম'বাইল নম্বৰেৰে সৰ্বাধিক 4 জনে টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰে। 
How can citizens with no access to smart phones or computers manage online registration?,স্মাৰ্টফোন বা কম্পিউটাৰৰ সুবিধা নথকা নাগৰিকে কেনেদৰে অনলাইন পঞ্জীয়ন কৰাব পাৰিব?
Up to 4 people can be registered for vaccination using the same mobile number,একেটা ম'বাইল নম্বৰেৰে সৰ্বাধিক 4 জনে টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰে। 
Citizens can take help from friends or family for online registration,অনলাইন পঞ্জীয়নৰ বাবে নাগৰিকে বন্ধুবৰ্গ নাইবা পৰিয়ালৰ সহায় ল'ব পাৰে। 
Can I register for vaccination without Aadhaar card?,আধাৰ কাৰ্ড অবিহনে মই টিকাকৰণৰ বাবে পঞ্জীয়ন কৰাব পাৰিমনে?
"Yes, you can register on Co-WIN portal using any of the following ID proofs","হয়, পাৰিব। তলত দিয়া যিকোনো এখন পৰিচয় পত্ৰ ব্যৱহাৰ কৰি আপুনি Co-WIN প'ৰ্টেলৰ বাবে পঞ্জীয়ন কৰাব পাৰিব"
Aadhaar card,আধাৰ কাৰ্ড
Driving License,ড্ৰাইভিং লাইচেঞ্চ
PAN card,পান কাৰ্ড
Passport,পাছপ'ৰ্ট
Pension Passbook,পেঞ্চনৰ পাছবুক
NPR Smart Card,এনপিআৰ স্মাৰ্ট কাৰ্ড
Voter ID,ভোটাৰ আইডি
Is there any registration charges to be paid?,পঞ্জীয়নৰ বাবদ কিবা মাচুল দিব লাগে নেকি?
No. There is no registration charge.,টিকাকৰণৰ ফলত পাৰ্শ্চক্ৰিয়াই দেখা দিলে কাৰ সৈতে যোগাযোগ কৰিম?
Whom do I contact in case of side effects from vaccination,টিকাকৰণৰ পিছত পাৰ্শ্বক্ৰিয়াই দেখা দিলে কাৰ সৈতে যোগাযোগ কৰিম?
Why do I need a vaccination certificate?,টিকাকৰণৰ প্ৰমাণপত্ৰ কিয় প্ৰয়োজন হয়?
