word,replacedWord
Registration,রেজিস্ট্রেশন
Lakh,লাখ
Doses,ডোজ
Dose,ডোজ
Vaccinated,টিকাকরণ
AEFI Reported,এ.ই.এফ.আই.  রিপোর্ট হয়েছে
Where can I register for COVID-19 vaccination?,কোথায় আমি টিকাকরণের জন্য রেজিস্টার করতে পারি?
You can log into the Co-WIN portal using the link,আপনি নিম্নলিখিত লিঙ্কটি ব্যবহার করে কো-উইন পোর্টালে লগ ইন করতে পারেন
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,#
Is there a mobile app that needs to be installed to register for vaccination?,টিকাকরনের নিবন্ধকরণের জন্য এমন কোনও মোবাইল অ্যাপ ইনস্টল করার দরকার আছে কি?
Is online registration mandatory for Covid 19 vaccination?,কোভিড-১৯ টিকাকরনের জন্য কি অনলাইন রেজিস্ট্রেশন বাধ্যতামূলক?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","টিকাকরণের কেন্দ্রগুলি প্রতিদিন সীমিত সংখ্যক অন স্পট রেজিস্ট্রেশন স্লট সরবরাহ করে। ৪৫ বছর বা তার বেশি বয়সের নাগরিকরা অনলাইনে অ্যাপয়েন্টমেন্ট নির্ধারণ করতে পারেন বা টিকাকরণের কেন্দ্রগুলিতে পৌঁছে যেতে পারেন। তবে, ১৮-৪৪ বছর বয়সী নাগরিকদের বাধ্যতামূলকভাবে রেজিস্টার করতে হবে এবং টিকাকরণের কেন্দ্রে যাওয়ার আগে অনলাইনে অ্যাপয়েন্টমেন্ট নিতে করতে হবে।"
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.","সাধারণভাবে, সমস্ত নাগরিককে নির্ঝঞ্ঝাটভাবে টিকাদানের অভিজ্ঞতার জন্য অনলাইন রেজিস্ট্রেশন এবং টিকা দেওয়ার সময়সূচী নির্ধারণ করার পরামর্শ দেওয়া হয়।"
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.","আরোগ্য সেতু ব্যতীত ভারতে টিকাকরণের রেজিস্ট্রেশনেড় জন্য কোনও অনুমোদিত মোবাইল অ্যাপ নেই। আপনাকে কো-উইন পোর্টালে লগ ইন করতে হবে। বিকল্পভাবে, আপনি আরোগ্য সেতু অ্যাপের মাধ্যমেও টিকাকরণের জন্য রেজিস্টার করতে পারেন।"
Which age groups can register for vaccination on the Co-WIN portal?,কো-উইন পোর্টালে কোন বয়স গোষ্ঠী টিকাকরনের জন্য রেজিস্টার করতে পারে?
All citizens aged 18 years and above can register for vaccination,১৮ বছর বা তার বেশি বয়সের সমস্ত নাগরিক টিকাকরনের জন্য রেজিস্টার করতে পারেন
How many people can be registered in the Co-WIN portal through one mobile number?,একটি মোবাইল নম্বরের মাধ্যমে কতজন লোক কো-উইন পোর্টালে রেজিস্টার করতে পারবেন?
Up to 4 people can be registered for vaccination using the same mobile number.,একই মোবাইল নম্বর ব্যবহার করে টিকাকরনের জন্য ৪ জন মানুষ নিবন্ধন করতে পারবেন।
How can citizens with no access to smart phones or computers manage online registration?,স্মার্টফোন বা কম্পিউটারের সুবিধা না থাকা নাগরিকরা কীভাবে অনলাইনে রেজিস্টার করতে পারেন?
Up to 4 people can be registered for vaccination using the same mobile number,একই মোবাইল নম্বর ব্যবহার করে টিকাকরনের জন্য ৪ জন মানুষ রেজিস্টার করতে পারবেন।
Citizens can take help from friends or family for online registration,নাগরিকরা অনলাইনে নিবন্ধের জন্য বন্ধুবান্ধব বা পরিবারের সাহায্য নিতে পারেন
Can I register for vaccination without Aadhaar card?,আমি কি আধার কার্ড ছাড়া টিকার জন্য রেজিস্টার করতে পারি?
"Yes, you can register on Co-WIN portal using any of the following ID proofs","হ্যাঁ, আপনি নিম্নলিখিত যে কোনও আই.ডি. প্রমাণ ব্যবহার করে কো-উইন পোর্টালে রেজিস্টার করতে পারেন"
Aadhaar card,আধার কার্ড
Driving License,ড্রাইভিং লাইসেন্স
PAN card,প্যান কার্ড
Passport,পাসপোর্ট
Pension Passbook,পেনসান পাসবুক
NPR Smart Card,এন.পি.আর. স্মার্ট কার্ড
Voter ID,ভোটার আই.ডি.
Is there any registration charges to be paid?,কোনো রেজিস্ট্রেশন চার্জ দিতে হবে?
No. There is no registration charge.,"না, কোনো রেজিস্ট্রেশন চার্জ দিতে হবে না"
Whom do I contact in case of side effects from vaccination,টিকাদান থেকে পার্শ্ব প্রতিক্রিয়া হলে কার সাথে যোগাযোগ করবো?
Why do I need a vaccination certificate?,আমার কেন টিকা শংসাপত্রের দরকার?
"A COVID Vaccine Certificate (CVC) issued by the government offers an assurance to the beneficiary on the vaccination, type of vaccine used, and the provisional certificate also provides the next vaccination due","সরকার কর্তৃক জারি করা একটি কোভিড ভ্যাকসিন শংসাপত্র (সি.ভি.সি.) উপকৃতকে এই টিকা প্রদান, ব্যবহৃত ভ্যাকসিনের ধরণের বিষয়ে একটি আশ্বাস প্রদান করে এবং অস্থায়ী শংসাপত্র পরবর্তী টিকাদান সরবরাহ করে"
It also is an evidence for the citizen to prove to any entities which may require proof of vaccination specially in case of travel,বিশেষত ভ্রমণের ক্ষেত্রে কোনও সংস্থার কাছে টিকাকরনের প্রমাণের প্রয়োজন হতে পারে
"Vaccination not only protects individuals from disease, but also reduces their risk of spreading the virus. Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.","টিকাদান ব্যক্তিদের কেবল রোগ থেকে রক্ষা করে না, ভাইরাসের ছড়িয়ে যাওয়ার ঝুঁকিও হ্রাস করে। সুতরাং, ভবিষ্যতে নির্দিষ্ট ধরণের সামাজিক মিথস্ক্রিয়া এবং আন্তর্জাতিক ভ্রমণের জন্য শংসাপত্র তৈরি করার প্রয়োজন হতে পারে।"
"Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.","সুতরাং, ভবিষ্যতে নির্দিষ্ট ধরণের সামাজিক মিথস্ক্রিয়া এবং আন্তর্জাতিক ভ্রমণের জন্য শংসাপত্র তৈরি করার প্রয়োজন হতে পারে।"
Who is responsible for providing the vaccination certificate?,টিকা শংসাপত্র সরবরাহ করার জন্য দায়বদ্ধ কে?
"The Vaccination Centre is responsible for generating your certificate and for providing a printed copy post vaccination on the day of vaccination itself. Please do insist on receiving the certificate at the Centre. For Private Hospitals, the charges for providing a printed copy of the certificate are included in the service charge for vaccination.",ঐ দিনেই টিকাকরণ পরবর্তী মুদ্রিত শংসাপত্র দেওয়ার জন্য টিকা কেন্দ্র দায়বদ্ধ 
Where can I download vaccination certificate from?,আমি কোথা থেকে টিকা শংসাপত্র ডাউনলোড করতে পারি?
Vaccination,ভ্যাক্সিনেশন
Vaccine Certificate,ভ্যাক্সিন সার্টিফিকেট
Reporting Side effects,পার্শ্ব প্রতিক্রিয়া রিপোর্ট করুন
You can download vaccination certificate from the Co-WIN portal (cowin.gov.in) or the Aarogya Setu app or through Digi-Locker by following the simple steps.,আপনি নিম্নলিখিত সহজ পদ্ধতিগুলি অনুসরণ করে কো-উইন পোর্টাল (cowin.gov.in) বা আরোগ্য সেতু অ্যাপ্লিকেশন বা ডিজি-লকারের মাধ্যমে টিকা শংসাপত্র ডাউনলোড করতে পারেন।
You may do so by using the mobile number used at the time of registration.,আপনি রেজিস্ট্রেশনের সময় ব্যবহৃত মোবাইল নম্বর ব্যবহার করে এটি করতে পারেন।
In this context the certificate issued by Co-WIN has built in security features to guarantee genuineness of the certificate which can be digitally verified using approved utilities which are provided in Co-WIN portal.,এই প্রসঙ্গে কো-উইন কর্তৃক প্রদত্ত শংসাপত্রটি তার সত্যতা নিশ্চিত করার জন্য বিল্ট-ইন সুরক্ষা বৈশিষ্ট্য তৈরি করেছে যা কো-উইন পোর্টালে প্রদত্ত অনুমোদিত ইউটিলিটিগুলি ব্যবহার করে ডিজিটালি যাচাই করা যেতে পারে।
Is vaccination free at all vaccination centres?,সমস্ত টিকা কেন্দ্রগুলিতে কি টিকা বিনামূল্যে দেওয়া হয়?
"No. Currently, vaccination is free at Government hospitals and charged at INR 250 in Private hospitals for citizens aged 45 years and above.","না, বর্তমানে ৪৫ বছর বা তার বেশি বয়সের নাগরিকদের জন্য বেসরকারি হাসপাতালে টিকা বিনামূল্যে এবং বেসরকারি হাসপাতালে ২৫০ টাকা করে নেওয়া হচ্ছে"
"From 1st May onwards, the Vaccination for people of 45 years or more will continue to be free at the Government facilities","১লা মে থেকে, ৪৫ বছর বা তার বেশি বয়সের মানুষের জন্য টিকা সরকারী সুবিধায় অব্যাহত থাকবে"
For people between 18 to 44 years the States will announce the policy relating to payment. Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,১৮ থেকে ৪৫ বছরের মধ্যে নাগরিকদের জন্য রাজ্যগুলি টিকার মুল্য সম্পর্কিত নীতি ঘোষণা করবে। টিকার মুল্য বেসরকারি হাসপাতাল কর্তৃপক্ষ দ্বারা নির্ধারিত হবে এবং আপনি প্রতিটি ভ্যাকসিনের মূল্য বুকিংয়ের সময় দেখতে পাবেন।
Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,টিকার মুল্য বেসরকারি হাসপাতাল কর্তৃপক্ষ দ্বারা নির্ধারিত হবে এবং আপনি প্রতিটি ভ্যাকসিনের মূল্য বুকিংয়ের সময় দেখতে পাবেন।
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago.","ভ্যাকসিনেশন কেন্দ্রগুলিকে নির্দেশ দেওয়া হয়েছে যে, কোনও নাগরিক দ্বিতীয় ডোজ নেওয়ার সময় তাকে নিশ্চিত করতে হবে যে প্রথম ডোজটি দ্বিতীয় ডোজ দেওয়ার অন্ততপক্ষে ২৮ দিন পূর্বে নিয়েছিলেন এবং সেই সময় একই ভ্যাকসিন নিয়েছিলেন"
You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator.,আপনার ভ্যাকসিনের ধরণ এবং প্রথম ডোজ ভ্যাকসিনের তারিখটি সঠিকভাবে ভ্যাক্সিনেটরকে প্রদর্শন করা উচিত।
You should carry your vaccine certificate issued after the first dose.,আপনার প্রথম ডোজের পরে পাওয়া ভ্যাকসিন শংসাপত্র বহন করা উচিত।
Can I check the price of the vaccine?,আমি কি ভ্যাকসিনের মূল্য জানতে পারি?
Frequently Asked Questions on Co-WIN,কো-উইন সম্পর্কে প্রায়শই জিজ্ঞাসিত প্রশ্নাবলী (ফ্রিকুয়েন্টলি আস্কড কয়েশ্চন্স)
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,"হ্যাঁ, অ্যাপয়েন্টমেন্টের সময় সিস্টেম আপনাকে ভ্যাকসিনেশন কেন্দ্রের নীচে ভ্যাকসিনের মূল্য প্রদর্শন করবে।"
Can I choose the vaccine?,আমি কি ভ্যাকসিনটি পছন্দ করতে পারি?
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","অ্যাপয়েন্টমেন্টের নির্ধারণের সময় সিস্টেম প্রতিটি টিকা কেন্দ্রে কোন ভ্যাকসিনটি দেওয়া হচ্ছে তা দেখায়। নাগরিকরা তাদের ভ্যাকসিনের পছন্দ অনুযায়ী ভ্যাকসিন সেন্টারটি বেছে নিতে পারেন। তবে, এই পছন্দটি সরকারি সুযোগ-সুবিধায় পাওয়া যাবে না।"
What precautions should I take at the time of 2nd dose vaccination?,দ্বিতীয় ডোজ নেওয়ার সময় আমার কী কী সাবধানতা অবলম্বন করা উচিত?
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.","ভ্যাকসিনেশন কেন্দ্রগুলিকে নির্দেশ দেওয়া হয়েছে যে, কোনও নাগরিক দ্বিতীয় ডোজ নেওয়ার সময় তাকে নিশ্চিত করতে হবে যে প্রথম ডোজটি দ্বিতীয় ডোজ দেওয়ার অন্ততপক্ষে ২৮ দিন পূর্বে নিয়েছিলেন এবং সেই সময় একই ভ্যাকসিন নিয়েছিলেন। আপনার ভ্যাকসিনের ধরণ এবং প্রথম ডোজ ভ্যাকসিনের তারিখটি সঠিকভাবে ভ্যাক্সিনেটরকে প্রদর্শন করা উচিত। আপনার প্রথম ডোজের পরে পাওয়া ভ্যাকসিন শংসাপত্র বহন করা উচিত।"
Can I get vaccinated with 2nd dose in a different State/District?,"আমি কি আলাদা রাজ্য / জেলা থেকে টিকা দিতে পারি?
"
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.","হ্যাঁ, আপনি যে কোনও রাজ্য / জেলাতে টিকা নিতে পারেন। কেবলমাত্র সীমাবদ্ধতা হ'ল আপনি কেবলমাত্র সেই কেন্দ্রগুলিতে ভ্যাকসিন নিতে সক্ষম হবেন যেখানে আপনাকে দেওয়া প্রথম ডোজের একি ভ্যাকসিন সরবরাহ করছে।
"
Which documents should I carry with me for vaccination?,"টিকা দেওয়ার জন্য আমার সাথে কোন ডকুমেন্টগুলি বহন করা উচিত?
"
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,"কো-ওয়াইন পোর্টালে রেজিস্ট্রেশনের সময় আপনার নির্দিষ্ট করা পরিচয় প্রমাণ এবং আপনার অ্যাপয়েন্টমেন্ট স্লিপের একটি প্রিন্ট আউট / স্ক্রিনশট বহন করা উচিত।
"
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?","আমি কো-উইন পোর্টালে নিজেকে রেজিস্টার করেছি। তবে, আমি আমার অঞ্চলের কাছে কোনও টিকাকেন্দ্র দেখতে পারছি না বলে আমি কোনও বুকিং করতে পারছি না?"
"Yes, it is possible that no facility near your place has published their vaccination program as yet. You may wait for some time till vaccination facilities near your place are onboarded on Co-Win platform, become active and start their services.","হ্যাঁ, এটি সম্ভবত আপনার অঞ্চলের নিকটবর্তী কোনও সংস্থা টিকা দেওয়ার প্রোগ্রাম এখনও শুরু করেনি। আপনার অঞ্চলের কাছাকাছি টিকাদান সুবিধাগুলি কো-উইন প্ল্যাটফর্মে চালিত না হওয়া, সক্রিয় নয়া হয়ে ওঠা এবং তাদের পরিষেবাগুলি শুরু না করা পর্যন্ত আপনি অপেক্ষা করতে পারেন।
"
2nd dose scheduling,দ্বিতীয় ডোজ শিডিউল করুন
Is it necessary to take 2nd dose of vaccination?,টিকার দ্বিতীয় ডোজ নেওয়া কি দরকার?
Yes. It is recommended that both doses of vaccine should be taken for realising the full benefit of vaccination. Both doses must be of the same vaccine type.,"হ্যাঁ. টিকার সম্পূর্ণ সুবিধা উপলব্ধি করার জন্য ভ্যাকসিনের উভয় ডোজ গ্রহণ করা উচিত। উভয় ডোজ একই ভ্যাকসিন ধরণের হতে হবে।
"
When should I take the 2nd dose of vaccination?,"টিকার দ্বিতীয় ডোজটি আমার কখন নেওয়া উচিত?
"
Will my 2nd dose appointment be automatically scheduled by Co-WIN system?,"আমার দ্বিতীয় ডোজ অ্যাপয়েন্টমেন্ট স্বয়ংক্রিয়ভাবে কো-উইন সিস্টেম দ্বারা নির্ধারিত হবে?
"
No. You have to take an appointment for the 2nd dose vaccination. The Co-WIN system will help you book an appointment in a Vaccination Centre where the same vaccine is being administered as the vaccine type (COVAXIN or COVISHIELD) of the 1st dose.,"না। দ্বিতীয় ডোজ টিকা দেওয়ার জন্য আপনাকে অ্যাপয়েন্টমেন্ট নিতে হবে। কো-উইন সিস্টেম আপনাকে ভ্যাকসিনেশন সেন্টারে একটি অ্যাপয়েন্টমেন্ট বুক করতে সহায়তা করবে যেখানে একই ভ্যাকসিনটি প্রথম ডোজের ভ্যাকসিন ধরণের (COVAXIN বা COVISHIELD) হিসাবে পরিচালিত হচ্ছে।
"
Whom can I contact if I have some problems related to my online registration of appointment?,"আমার অনলাইনে অ্যাপয়েন্টমেন্ট নিয়োগের সাথে সম্পর্কিত কিছু সমস্যা হলে আমি কার সাথে যোগাযোগ করতে পারি?
"
You can call on the national helpline Ã¢â‚¬Ëœ1075Ã¢â‚¬â„¢ for information and guidance on COVID-19 vaccination and Co-WIN software related queries.,COVID-19 টিকাদান এবং কো-ওয়াইন সফটওয়্যার সম্পর্কিত প্রশ্নগুলির বিষয়ে তথ্য ও দিকনির্দেশনার জন্য আপনি জাতীয় হেল্পলাইন 1075 এ কল করতে পারেন।
Scheduling Appointment,"অ্যাপয়েন্টমেন্ট শিডিউল করা।
"
Can I book an appointment for vaccination in the Co-WIN portal?,"আমি কি কো-ওয়াইন পোর্টালে টিকা দেওয়ার জন্য অ্যাপয়েন্টমেন্ট বুক করতে পারি?
"
"Yes, you can book appointment for vaccination through Co-WIN portal after logging-in to the Co-WIN Portal through your registered mobile number. The system will show vaccination centres that allow vaccination as per the age of the citizen entered in the registration portal.","হ্যাঁ, আপনি আপনার রেজিস্টার্ড মোবাইল নম্বরের মাধ্যমে কো-ওয়াইন পোর্টালে লগ-ইন করার পরে কো-ওয়াইন পোর্টালের মাধ্যমে টিকা দেওয়ার জন্য অ্যাপয়েন্টমেন্ট বুক করতে পারেন। সিস্টেমটি ভ্যাকসিনেশন কেন্দ্রগুলি দেখাবে যা রেজিস্ট্রেশন পোর্টালে প্রবেশ করা নাগরিকের বয়স অনুসারে টিকা দেওয়ার অনুমতি দেয়।"
