word,replacedWord
Registration,ನೋಂದಣಿ
Lakh,ಲಕ್ಷ
Doses,ಲಸಿಕೆಗಳು
Dose,ಲಸಿಕೆ
Vaccinated,"ಲಸಿಕೆ ನೀಡಲಾಗಿದೆ"
"AEFI Reported","AEFI ವರದಿಯಾದ "
"Where can I register for COVID-19 vaccination?","ಕೋವಿಡ್-೧೯ ಲಸಿಕೆಗಾಗಿ ನಾನು ಎಲ್ಲಿ ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬಹುದು?"
"You can log into the Co-WIN portal using the link","ಈ ಕೊಂಡಿಯನ್ನು ಬಳಸಿ ನೀವು ಕೋ-ವಿನ್ ಜಾಲತಾಣಕ್ಕೆ ಲಾಗಿನ್ ಆಗಬಹುದು "
"and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.","ಮತ್ತು ""ನಿಮ್ಮನ್ನು ನೋಂದಾಯಿಸಿಕೊಳ್ಳಿ "" ಟ್ಯಾಬ್ ಅನ್ನು ಕ್ಲಿಕ್ ಮಾಡಿ ಕೋವಿಡ್-೧೯ ಲಸಿಕೆಗಾಗಿ ನೋಂದಾಯಿಸಿಕೊಳ್ಳಬಹುದು "
"Is there a mobile app that needs to be installed to register for vaccination?","ಲಸಿಕೆಗಾಗಿ ನೋಂದಣಿಗೆ ಯಾವುದಾದರೂ ಮೊಬೈಲ್ ಆಪ್ ಅನ್ನು ಇನ್ಸ್ಟಾಲ್ ಮಾಡಿಕೊಳ್ಳಬೇಕೆ?"
"Is online registration mandatory for Covid 19 vaccination?","ಕೋವಿಡ್ ೧೯ ಲಸಿಕೆ ಪಡೆಯಲು ಆನ್ಲೈನ್ ನೋಂದಣಿ ಕಡ್ಡಾಯವೇ?"
