word,replacedWord
Registration,രജിസ്റ്റര്‍ ചെയ്യല്‍
Lakh,ലക്ഷം
Doses,മാത്രകള്‍
Dose,മാത്ര
Vaccinated,കുത്തിവയ്പ് എടുത്തു.
AEFI Reported,രോഗപ്രതിരോധത്തെ സംബന്ധിച്ചു പ്രതികൂല സംഭവങ്ങള്‍ റിപ്പോര്‍ട്ട് ചെയ്തിട്ടുണ്ടോ?
Where can I register for COVID-19 vaccination?,കോവിഡ് -19 വാക്സിനേഷനായി എവിടെയൊക്കെ രജിസ്റ്റര്‍ ചെയ്യാം
You can log into the Co-WIN portal using the link,ഈ കണ്ണി ഉപയോഗിച്ച് കോവിന്‍ പോര്‍ട്ടലില്‍ രജിസ്റ്റര്‍ ചെയ്യാം
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,COVID-19 പ്രതിരോധ കുത്തിവയ്പിനായി  രജിസ്റ്റർ ചെയ്യുന്നതിന്  “രജിസ്റ്റർ / പ്രവേശിക്കുക” എന്ന ടാബിൽ അമര്‍ത്തുക.
Is there a mobile app that needs to be installed to register for vaccination?,കുത്തിവയ്‌പിനായി സ്മാര്‍ട്ഫോണ്‍ ആപ്ലിക്കേഷന്‍ ഇന്‍സ്റ്റോള്‍ ചെയ്യേണ്ടതുണ്ടോ?
Is online registration mandatory for Covid 19 vaccination?,കോവിഡ് പ്രതിരോധ കുത്തിവയ്പിനായി ഓണ്‍-ലൈന്‍ രജിസ്ട്രേഷന്‍ നിര്‍ബന്ധമുണ്ടോ?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","എല്ലാ ദിവസവും  കുത്തിവയ്പ് കേന്ദ്രങ്ങളില്‍ മരുന്നിന്റെ ലഭ്യതയ്ക്കനുസരിച്ചു് പരിമിതമായ  തത്സമയ രജിസ്ട്രേഷന് അവസരം നൽകുന്നു. 45 വയസും അതിൽ കൂടുതലുമുള്ള പൗരന്മാർക്ക് ഓൺ-ലൈന്‍ വഴി കുത്തിവയ്പിനായി സമയം നിശ്ചയിക്കാം. അല്ലെങ്കിൽ കുത്തിവയ്പ് കേന്ദ്രങ്ങളിലേക്ക് നേരിട്ട് വന്ന് കുത്തിവയ്പ് എടുക്കാം. എന്നിരുന്നാലും, 18നും  44നും വയസിനിടയില്‍ പ്രായമുള്ളവർ നിർബന്ധമായും കോവിന്‍ വെബ്‌സൈറ്റില്‍ സ്വയം രജിസ്റ്റർ ചെയ്യുകയും കുത്തിവയ്പ് കേന്ദ്രത്തിലേയ്ക്ക് പോകുന്നതിനുമുമ്പ് ഓൺലൈനിൽ സമയം നിശ്ചയിച്ചുറപ്പാക്കണം."
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.",പൊതുവായി എല്ലാവര്‍ക്കും തടസ്സരഹിതമായ പ്രതിരോധ കുത്തിവെയ്പ് അനുഭവവേദ്യമാക്കുന്നതിനായി ഓൺ-ലൈനിൽ രജിസ്റ്റർ ചെയ്യാനും വാക്സിനേഷൻ മുൻ‌കൂട്ടി സമയക്രമീകരണം ചെയ്യാനും  നിര്‍ശിക്കുന്നു.
