word,replacedWord
Registration,முன்பதிவு
Lakh,லட்சம்
Doses,அளவு
Dose,அளவு
Vaccinated,தடுப்பூசி
AEFI Reported,நோய்த்தடுப்பு தொடர்ந்து பாதகமான நிகழ்வுகள் (AEFI) அறிக்கை
Where can I register for COVID-19 vaccination?,COVID-19 தடுப்பூசிக்கு நான் எங்கே முன்பதிவு செய்யலாம்?
You can log into the Co-WIN portal using the link,இணைப்பைப் பயன்படுத்தி கோ-வின் தளத்தில் உள்நுழையலாம்
and click on the Register/Sign In yourself tab to register for COVID-19 vaccination.,"COVID-19 தடுப்பூசிக்கு முன்பதிவு செய்ய ""முன்பதிவு / உள்நுழைவு"" தாவலைக் கிளிக் செய்க."
Is there a mobile app that needs to be installed to register for vaccination?,தடுப்பூசிக்கு முன்பதிவு செய்ய திறன்பேசியில் (Smart Phone) செயலி பயன்பாடு நிறுவப்பட வேண்டுமா?
Is online registration mandatory for Covid 19 vaccination?,கோவிட் 19 தடுப்பூசிக்கு ஆன்லைன் முன்பதிவு கட்டாயமா?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","தடுப்பூசி மையங்கள் ஒவ்வொரு நாளும் ஒரு குறிப்பிட்ட எண்ணிக்கையிலான இடத்திலேயே முன்பதிவு செய்யும் இடங்களை வழங்குகின்றன. 45 வயது மற்றும் அதற்கு மேற்பட்ட குடிமக்கள் ஆன்லைனில் சந்திப்புகளை திட்டமிடலாம் அல்லது தடுப்பூசி மையங்களுக்கு செல்லலாம். இருப்பினும், 18-44 வயதுடைய குடிமக்கள் தடுப்பூசி மையத்திற்குச் செல்வதற்கு முன்பு கட்டாயமாக தங்களை முன்பதிவு செய்து ஆன்லைனில் நியமனம் செய்ய வேண்டும்."
