word,replacedWord
Registration,નોંધણી
Lakh,લાખ
Doses,ડોઝ
Dose,ડોઝ
Vaccinated,રસી મુકાઇ
AEFI Reported,AEFI નો અહેવાલ મળવો
Where can I register for COVID-19 vaccination?,COVID - 19 ના રસીકરણ માટે ક્યાં નોંધણી કરવી
You can log into the Co-WIN portal using the link,તમે લિંકનો ઉપયોગ કરીને Co-WIN પોર્ટલમાં લોગ ઇન કરી શકો છો
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,અને COVID-19 રસીકરણ માટે નોંધણી કરવા માટે â € e રજિસ્ટર / સાઇનઇન જાતે ટેબ પર ક્લિક કરો
Is there a mobile app that needs to be installed to register for vaccination?,શું રસીકરણ માટે નોંધણી કરવા માટે કોઈ મોબાઇલ એપ્લિકેશન ઇન્સ્ટોલ કરવાની જરૂર છે
Is online registration mandatory for Covid 19 vaccination?,શું કોવિડ 19 રસીકરણ માટે  ઓનલાઇન નોંધણી ફરજિયાત છે
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.",રસીકરણ કેન્દ્રો દરરોજ મર્યાદિત સંખ્યામાં સ્થળ પર જ નોંધણી માટેના સ્લોટ આપે છે
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.",સામાન્ય રીતે બધા નાગરિકોને મુશ્કેલી વિના રસીકરણના અનુભવ માટે ઓનલાઇન નોંધણી કરવાની અને રસીકરણને સમયસર સુનિશ્ચિત કરવાની ભલામણ કરવામાં આવે છે
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.","ભારતમાં રસીકરણની નોંધણી માટે આરોગ્ય સેતુ સિવાય કોઇ અધિકૃત મોબાઇલ એપ્લિકેશન નથી.તમારે CO -WIN પોર્ટલ પર લોગ ઇન કરવાની જરુર છે. આ સિવાય તમે આરોગ્ય સેતુ પર પણ રેજિસ્ટર કરાવી શકો છો ,વૈકલ્પિક રીતે તમે આરોગ્ય સેતુ એપ્લિકેશન દ્વારા પણ રસીકરણ માટે નોંધણીી કરાવી શકો છો."
Which age groups can register for vaccination on the Co-WIN portal?,કયા વય જુથો Co-WIN પોર્ટલ પર રસીકરણ માટે નોંધણી કરાવી શકે છે? 
All citizens aged 18 years and above can register for vaccination,18 વર્ષ કે તેથી વધુ ઉંમરના બધા નાગરિકો રસીકરણ માટે નોંધણી કરાવી શકે છે
How many people can be registered in the Co-WIN portal through one mobile number?,એક મોબાઇલ નંબર દ્વારા કેટલા લોકો કો-વિન પોર્ટલમાં નોંધણી કરાવી શકે છે
Up to 4 people can be registered for vaccination using the same mobile number.,એક જ મોબાઇલ નંબરના ઉપયોગથી રસીકરણ માટે 4 જેટલા લોકો નોંધણી કરાવી શકે છે
How can citizens with no access to smart phones or computers manage online registration?,સ્માર્ટ ફોન અથવા કોમ્પ્યુટર વાપરતા ન હોય તેવી વ્યક્તિઓ ઓનલાઇન  નોંધણીનું સંચાલન કઇ રીતે કરી શકશે? 
Up to 4 people can be registered for vaccination using the same mobile number,એક જ મોબાઇલ નંબરના ઉપયોગથી રસીકરણ માટે 4 જેટલા લોકો નોંધણી કરાવી શકે છે
Citizens can take help from friends or family for online registration,નાગરિકો ઓનલાઇન નોંધણી માટે મિત્રો અથવા પરિવારની સહાય લઇ શકે છે. 
Can I register for vaccination without Aadhaar card?,શું હું આધારકાર્ડ વિના રસીકરણ માટે નોંધણી કરાવી શકું છું
"Yes, you can register on Co-WIN portal using any of the following ID proofs","હા,તમે નીચેમાંથી કોઇપણ ઓળખપત્ર દ્વારા નોંધણી કરાવી શકો છો"
Aadhaar card,આધાર કાર્ડ
Driving License,ડ્રાઇવિંગ લાઇસન્સ 
PAN card,પાન કાર્ડ
Passport,પાસપોર્ટ
Pension Passbook,પેન્શન પાસબુક 
NPR Smart Card,NPR સ્માર્ટ કાર્ડ
Voter ID,મતદાતા ઓળખપત્ર 
Is there any registration charges to be paid?,નોંધણી માટે કોઇ ચાર્જ ચુકવવો પડશે
No. There is no registration charge,ના નોંધણી માટેનો કોઇ ચાર્જ નથી
Whom do I contact in case of side effects from vaccination,રસીકરણથી થતી આડાસર માટે મારે કોનો સંપર્ક કરવાનો રહેશે?
Why do I need a vaccination certificate?,રસીકરણના પ્રમાણપત્રની જરુરિયાત શાના માટે છે? 
"A COVID Vaccine Certificate (CVC) issued by the government offers an assurance to the beneficiary on the vaccination, type of vaccine used, and the provisional certificate also provides the next vaccination due","સરકાર દ્વારા આપવામાં આવતા રસીકરણના પ્રમાણપત્ર(CVC)લાભકર્તાને રસીકરણ, આપવામાં આવેલ રસીના પ્રકાર વિશે ખાતરી આપે છે.પ્રોવિઝનલ સર્ટિફિકેટ આગામી રસીકરણ માટે પણ પુરુ પાડવામાં જરુરી બને છે."
It also is an evidence for the citizen to prove to any entities which may require proof of vaccination specially in case of travel,રસીકરણના પુરાવાની જરુર પડે તેવી કોઇપણ સંસ્થા અને ખાસ કરીને મુસાફરીના કિસ્સામાં નાગરિક માટે આ પ્રમાણપત્ર પુરાવાનું કાર્ય કરે છે
"Vaccination not only protects individuals from disease, but also reduces their risk of spreading the virus. Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.","રસીકરણ ફક્ત રોગથી જ  સુરક્ષિત રાખવાનુ  કાર્ય નથી કરતુ, તે સાથે સાથે વાઇરસ ફેલાવાનું જોખમ પણ ઘટાડે છે. તેથી ભવિષ્યમાં અમુક પ્રકારની સામાજિક ક્રિયાપ્રતિક્રિયાઓ અને આંતરરાષ્ટ્રીય મુસાફરી માટે પ્રમાણપત્ર બનાવવાની આવશ્યકતા બની શકે છે"
"Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.","તેથી ભવિષ્યમાં અમુક પ્રકારની સામાજિક ક્રિયાપ્રતિક્રિયાઓ અને આંતરરાષ્ટ્રીય મુસાફરી માટે પ્રમાણપત્ર બનાવવાની આવશ્યકતા હોઈ શકે છે"
Who is responsible for providing the vaccination certificate?,રસીકરણનું પ્રમાણપત્ર આપવા માટે કોણ જવાબદાર છે
