word,replacedWord
Registration,पंजीकरण
Lakh,लाख
Doses,खुराक
Dose,खुराक
Vaccinated,टीका लगाया
AEFI Reported,एईएफआई ने रिपोर्ट किया
Where can I register for COVID-19 vaccination?,मैं COVID-19 टीकाकरण के लिए कहां पंजीकरण कर सकता हूं?
You can log into the Co-WIN portal using the link,आप लिंक का उपयोग करके को-विन पोर्टल में लॉग इन कर सकते हैं
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,"और COVID-19 टीकाकरण के लिए पंजीकरण करने के लिए ""Register/Sign Inself"" टैब पर क्लिक करें।"
Is there a mobile app that needs to be installed to register for vaccination?,क्या कोई मोबाइल ऐप है जिसे टीकाकरण के लिए पंजीकरण करने के लिए स्थापित करने की आवश्यकता है?
Is online registration mandatory for Covid 19 vaccination?,क्या कोविड-19 टीकाकरण के लिए ऑनलाइन पंजीकरण अनिवार्य है?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","टीकाकरण केंद्र हर दिन सीमित संख्या में ऑन-स्पॉट पंजीकरण स्लॉट प्रदान करते हैं। 45 वर्ष और उससे अधिक आयु के नागरिक ऑनलाइन अप्वाइंटमेंट शेड्यूल कर सकते हैं या टीकाकरण केंद्रों में वॉक-इन कर सकते हैं। हालांकि, 18-44 वर्ष की आयु के नागरिकों को टीकाकरण केंद्र में जाने से पहले अनिवार्य रूप से अपना पंजीकरण और ऑनलाइन अपॉइंटमेंट शेड्यूल करना चाहिए।"
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.","सामान्य तौर पर, सभी नागरिकों को एक परेशानी मुक्त टीकाकरण अनुभव के लिए ऑनलाइन पंजीकरण करने और टीकाकरण को अग्रिम रूप से निर्धारित करने की सिफारिश की जाती है।"
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.","आरोग्य सेतु को छोड़कर भारत में टीकाकरण के लिए पंजीकरण के लिए कोई अधिकृत मोबाइल ऐप नहीं है। आपको Co-WIN पोर्टल में लॉग इन करना होगा। वैकल्पिक रूप से, आप आरोग्य सेतु ऐप के माध्यम से भी टीकाकरण के लिए पंजीकरण कर सकते हैं।"
Which age groups can register for vaccination on the Co-WIN portal?,Co-WIN पोर्टल पर कौन से आयु वर्ग टीकाकरण के लिए पंजीकरण कर सकते हैं?
All citizens aged 18 years and above can register for vaccination,18 वर्ष और उससे अधिक आयु के सभी नागरिक टीकाकरण के लिए पंजीकरण करा सकते हैं
How many people can be registered in the Co-WIN portal through one mobile number?,Co-WIN पोर्टल में एक मोबाइल नंबर के माध्यम से कितने लोगों को पंजीकृत किया जा सकता है?
Up to 4 people can be registered for vaccination using the same mobile number.,एक ही मोबाइल नंबर का उपयोग करके 4 लोगों तक टीकाकरण के लिए पंजीकरण कराया जा सकता है।
How can citizens with no access to smart phones or computers manage online registration?,स्मार्ट फोन या कंप्यूटर तक पहुंच वाले नागरिक ऑनलाइन पंजीकरण का प्रबंधन कैसे कर सकते हैं?
Up to 4 people can be registered for vaccination using the same mobile number,एक ही मोबाइल नंबर का उपयोग करके 4 लोगों तक टीकाकरण के लिए पंजीकरण किया जा सकता है
Citizens can take help from friends or family for online registration,नागरिक ऑनलाइन पंजीकरण के लिए दोस्तों या परिवार की मदद ले सकते हैं
