word,replacedWord
Registration,नोंदणी
Lakh,लाख
Doses,डोसेस
Dose,डोस
Vaccinated,लसीकरण झाले
AEFI Reported,गंभीर दुष्परिणाम झाल्याच्या घटना
Where can I register for COVID-19 vaccination?,कोविड-१९ लसीकरणासाठी कुठे नोंदणी करता येईल?
You can log into the Co-WIN portal using the link,या लिंकच्या मदतीने आपण को-विन पोर्टलवर लॉग इन करू शकता
and click on the â€œRegister/Sign In yourself tab to register for COVID-19 vaccination.,आणि नोंदणी/प्रवेश करा या टॅबवर कोविड-१९ लसीकरिता नोंदणी करू शकता
Is there a mobile app that needs to be installed to register for vaccination?,लसीकरणासाठी कुठले मोबाईल ॲप असणे गरजेचे आहे का?
Is online registration mandatory for Covid 19 vaccination?,लसीकरणासाठी ऑनलाईन नोंदणी करणे बंधनकारक आहे का?
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.","लसीकरण केंद्रावर दररोज मर्यादित संख्येत थेट नोंदणीचे प्रयोजन आहे.  ४५ वर्षे व त्याहून अधिक वयाचे नागरिक ऑनलाईन अपॉइंटमेंट घेऊ शकतात किंवा थेट लसीकरण केंद्रात येऊ शकतात. मात्र, १८-४४ वर्षे वयोगटातील नागरिकांना आपली नोंदणी करणे तसेच लसीकरण केंद्रावर जाण्यापूर्वी ऑनलाईन अपॉईंटमेंट घेणे बंधनकारक आहे."
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.",सामान्यतः लसीकरण सुलभ होण्यासाठी सर्व नागरिकांनी ऑनलाईन नोंदणी करून अगोदरच लसीकरण कालावधी निश्चित करणे हितकर आहे
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.","आरोग्य सेतू व्यतिरिक्त भारतात लसीकरणासाठी नोंदणी करायला कुठलेही अधिकृत मोबाईल ॲप नाही. आपण को-विन पोर्टलवर लॉग-ऑन करावे. अथवा, आपण आरोग्य सेतू ॲपद्वारे लसीकरणासाठी नोंदणी करू शकता."
Which age groups can register for vaccination on the Co-WIN portal?,को-विन पोर्टलवर कोणते वयोगट नोंदणी करू शकतात?
All citizens aged 18 years and above can register for vaccination,१८ वर्षे व त्याहून अधिक वयाचे सर्व नागरिक लसीकरणासाठी नोंदणी करू शकतात
How many people can be registered in the Co-WIN portal through one mobile number?,एका मोबाईल नंबरद्वारे को-विन पोर्टलवर किती जणांची नोंदणी करता येते? 
Up to 4 people can be registered for vaccination using the same mobile number.,एकाच मोबाईल नंबरद्वारे को-विन पोर्टलवर जास्तीत जास्त ४ जणांची नोंदणी करता येते.
How can citizens with no access to smart phones or computers manage online registration?,स्मार्टफोन अथवा संगणक नसलेल्या नागरिकांना ऑनलाइन नोंदणी कशी करता येईल?
