"word","replacedWord"
"Registration","నమోదు చేయడానికి"
"Lakh","లక్షలు"
"Doses","మోతాదు"
"Dose","మోతాదు"
"Vaccinated","టీకాలు"
"AEFI Reported","AEFI నివేదించబడింది"
"Where can I register for COVID-19 vaccination?","COVID-19 టీకా కోసం నేను ఎక్కడ నమోదు చేయవచ్చు?"
"You can log into the Co-WIN portal using the link","మీరు www.cowin.gov.in లింక్‌ను ఉపయోగించి కో-విన్ పోర్టల్‌లోకి లాగిన్ అవ్వవచ్చు"
" and click on the “Register/Sign In yourself” tab to register for COVID-19 vaccination.","మరియు COVID-19 టీకా కోసం నమోదు చేయడానికి “మీరే నమోదు చేసుకోండి / సైన్ ఇన్ చేయండి” టాబ్ పై క్లిక్ చేయండి."
"Is there a mobile app that needs to be installed to register for vaccination?","టీకా కోసం నమోదు చేయడానికి మొబైల్ అనువర్తన ఇన్‌స్టాల్ అవసరం ఉందా?"
"Is online registration mandatory for Covid 19 vaccination?","కోవిడ్ 19 టీకా కోసం ఆన్‌లైన్ నమోదు తప్పనిసరి?"
" Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre. ","టీకా కేంద్రాలు ప్రతిరోజూ పరిమిత సంఖ్యలో ఆన్-స్పాట్ రిజిస్ట్రేషన్ స్లాట్‌లను అందిస్తాయి. 45 సంవత్సరాలు మరియు అంతకంటే ఎక్కువ వయస్సు ఉన్న పౌరులు ఆన్‌లైన్‌లో నియామకాలను షెడ్యూల్ చేయవచ్చు లేదా టీకా కేంద్రాలకు నడవవచ్చు. అయినప్పటికీ, 18-44 సంవత్సరాల వయస్సు గల పౌరులు తమను తాము నమోదు చేసుకోవాలి మరియు ఆన్‌లైన్‌లో నియామకాన్ని షెడ్యూల్ చేయాలి టీకా కేంద్రానికి వెళ్ళే ముందు."
