word,replacedWord
Registration,اندراج(داخل )
Lakh,لاکھ
Doses,خوراکیں
Dose,خوراک
Vaccinated,ویکسین
AEFI Reported,AEFI رپورٹ
Where can I register for COVID-19 vaccination?,میں COVID-19 ویکسینیشن کے لئے کہاں  داخل کرسکتا ہوں؟
You can log into the Co-WIN portal using the link,آپ لنک(link) استعمال کرکے Co-WIN پورٹل میں لاگ ان کرسکتے ہیں 
and click on the â€œRegister/Sign In yourselfâ€ tab to register for COVID-19 vaccination.,اور COVID-19 ویکسینیشن کے داخل کے ل  رجسٹر / سائن ان خود ٹیب پر کلیک کریں۔
Is there a mobile app that needs to be installed to register for vaccination?,کیا کوئی ایسی موبائل ایپ ہے جس کو ٹیکے لگانے کے لئے داخل کرنے کے لئے انسٹال کرنے کی ضرورت ہے؟
Is online registration mandatory for Covid 19 vaccination?,کیا کوڈ 19 ویکسی نیشن کے لئے آن لائن رجسٹریشن لازمی ہے؟
"Vaccination Centres provide for a limited number of on-spot registration slots every day. Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres. However, Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before going to vaccination centre.",ویکسینیشن مراکز ہر دن محدود جگہوں پر داخل کرے  کی سلاٹ (slots)فراہم کرتے ہیں۔ 45 سال یا اس سے زیادہ عمر کے شہری آن لائن ملاقاتوں کا وقت شیڈول کرسکتے ہیں یا حفاظتی ٹیکوں کے مراکز میں داخل ہوسکتے ہیں۔ تاہم ، 18–44 سال کی عمر کے شہریوں کو لازمی طور پر اپنا داخل کروانا ہوگا اور ویکسینیشن سینٹر جانے سے پہلے آن لائن ملاقات کا شیڈول بنانا ہوگا۔
"In general, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.",عام طور پر ، تمام شہریوں کو مشورہ دیا جاتا ہے کہ وہ کسی بھی پریشانی سے پاک ویکسی نیشن کے تجربے کے ل online پہلے آن لائن اداخل کروائیں اور ویکسینیشن کا شیڈول رکھیں۔
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.",ہندوستان میں ویکسی نیشن کے لئے  داخل  کے لئے کوئی مجاز موبائل ایپ موجود نہیں سوائے اوروگیا سیٹو کے۔ آپ کو Co-WIN پورٹل میں لاگ ان کرنے کی ضرورت ہے۔ متبادل کے طور پر ، آپ اروگویا سیٹو ایپ کے ذریعہ بھی ویکسینیشن کے لئے  داخل کروا سکتے ہیں۔
Which age groups can register for vaccination on the Co-WIN portal?,کون سے عمر کے گروپ Co-WIN پورٹل پر ویکسی نیشن کے لئے  داخل کر سکتے ہیں؟
All citizens aged 18 years and above can register for vaccination,18 سال یا اس سے زیادہ عمر کے تمام شہری ویکسینیشن کے لئے  داخل کرسکتے ہیں
How many people can be registered in the Co-WIN portal through one mobile number?,ایک موبائل نمبر کے ذریعے کتنے افراد کو Co-WIN پورٹل میں  داخل کیا جاسکتا ہے؟
Up to 4 people can be registered for vaccination using the same mobile number.,ایک ہی موبائل نمبر کا استعمال کرکے ویکسینیشن کے لئے 4 افراد تک  داخل کرایا جاسکتا ہے۔
How can citizens with no access to smart phones or computers manage online registration?,سمارٹ فونز یا کمپیوٹر تک رسائی(Access) نہ رکھنے والے شہری آن لائن رجسٹریشن کا انتظام کیسے کرسکتے ہیں؟
Up to 4 people can be registered for vaccination using the same mobile number,ایک ہی موبائل نمبر کا استعمال کرکے ویکسینیشن کے لئے 4 افراد تک درج کریں کرایا جاسکتا ہ
Citizens can take help from friends or family for online registration,شہری آن لائن رجسٹریشن کے لئے دوستوں یا کنبہ(family) سے مدد لے سکتے ہیں
Can I register for vaccination without Aadhaar card?,کیا میں آدھار کارڈ کے بغیر ویکسینیشن کے لئے داخل  کروا سکتا ہوں؟
"Yes, you can register on Co-WIN portal using any of the following ID proofs",ہاں ، آپ درج ذیل میں سے کسی بھی شناختی ثبوت کا استعمال کرتے ہوئے کو-ون پورٹل پر اندراج کرسکتے ہیں
Aadhaar card,آدھار کارڈ
Driving License,ڈرائیونگ لائسنس
PAN card,پین کارڈ
Passport,پاسپورٹ
Pension Passbook,پنشن پاس بک
NPR Smart Card,این پی آر سمارٹ کارڈ
Voter ID,ووٹر کی شناخت
Is there any registration charges to be paid?,کیا کوئی رجسٹریشن چارج ادا کرنے ہیں؟
No. There is no registration charge.,کوئی رجسٹریشن چارج نہیں ہے۔
Whom do I contact in case of side effects from vaccination,ویکسینیشن سے ہونے والے مضر (harmful)اثرات کی صورت میں میں کس سے رابطہ کروں؟
Why do I need a vaccination certificate?,مجھے ویکسینیشن سرٹیفکیٹ کی ضرورت کیوں ہے؟
